,0,1,2,3,4,5,6,7,8,9,10
187, Tajikistan,22327.36,22027.78,0.0,299.58,0.0,0.0,0.0,0.0,0.0,0.0
188, Tanzania,701991.0599999999,413541.57,260861.38,17494.3,0.0,0.0,0.0,9976.08,0.0,117.73
189, Thailand,204709.15000000002,157865.92,3563.03,43280.2,0.0,0.0,0.0,0.0,0.0,0.0
190, The Former Yugoslav Republic of Macedonia,1313.55,1313.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191, Timor-Leste,4632.1,4189.34,158.78,15.68,0.0,0.0,0.0,0.0,0.0,268.3
192, Togo,172927.6,49317.25,119583.0,3012.62,0.0,0.0,0.0,1014.73,0.0,0.0
193, Tokelau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194, Tonga,47.19,46.71,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
195, Trinidad and Tobago,1058.77,494.26,0.0,564.51,0.0,0.0,0.0,0.0,0.0,0.0
196, Tunisia,9370.3,9182.56,0.0,187.74,0.0,0.0,0.0,0.0,0.0,0.0
197, Turkey,27819.3,27819.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198, Turkmenistan,15008.07,15008.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199, Turks and Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200, Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201, Uganda,4682130.909999999,337819.7,4116612.97,219282.13,0.0,0.0,0.0,8391.68,0.0,24.43
202, Ukraine,137680.26,126381.98,0.0,11298.28,0.0,0.0,0.0,0.0,0.0,0.0
203, United Arab Emirates,2800.92,2694.64,0.0,106.28,0.0,0.0,0.0,0.0,0.0,0.0
204, United Kingdom of Great Britain and Northern Ireland,7286.08,7286.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205, United States,21341.94,18419.17,0.0,2922.77,0.0,0.0,0.0,0.0,0.0,0.0
206, Uruguay,1218.46,1113.83,0.0,104.63,0.0,0.0,0.0,0.0,0.0,0.0
207, US Virgin Islands,26.92,26.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208, Uzbekistan,72668.49,72119.83,0.0,548.66,0.0,0.0,0.0,0.0,0.0,0.0
209, Vanuatu,747.84,644.02,0.0,64.59,21.96,16.1,1.17,0.0,0.0,0.0
210, Venezuela,22853.689999999995,17383.69,6.42,2432.81,1859.71,46.05,1125.01,0.0,0.0,0.0
211, Viet Nam,399176.88,391443.4,7733.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212, Wallis and Futuna Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213, West Bank and Gaza Strip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214, Yemen,69594.56,65474.57,3746.12,28.51,0.0,0.0,0.0,345.36,0.0,0.0
215, Zambia,347709.24000000005,146769.39,129793.77,70473.31,0.0,0.0,0.0,659.84,0.0,12.93
216, Zimbabwe,444065.30000000005,253043.74,1080.73,189414.55,0.0,0.0,0.0,526.28,0.0,0.0
